id;nombre_colaborador;cargo;departamento;num_telefono;correo
1;male redevelop;Guantes dolorem;Inversor Tunez;44102;Hogar mano boohoo
2;Blanco transform GB;Dinamarca Global iure;interactiva didactica Road;59653;cultivate
3;mindshare capacitor en;Investment;until anglicize;58003;Cargo Ordenador
4;compressing save;Configuración protocol Gráfica;Dollar Verde Algodón;68940;Futuro
5;embrace title;Toyota;Barbados mano;86241;South
6;Planificador Berkshire traumatic;Madera Papelería;transmit via incremental;52680;share
7;Joyería;North UTF8 generating;into Guapa Ergonómico;43375;Analista
8;Negro PCI;Increible;invoice East Van;60208;Versatil
9;globalise Bicicleta synthesizing;naturally Inteligente omnis;Berkshire;24140;Soul boo bypass
10;Bolingbrook Meitnerium Passenger;Meriden;gosh area León;71326;hack henry Cis
